,key,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
0,9d851f1b-00b3-4b02-9494-beda8866d6f7,2020-12-29 16:13:49+00:00,ECOMMERCE,82.0,MANUAL,14.99,134.91,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
1,dc13ebc6-a527-46d0-b424-6642d47c8a11,2020-12-29 16:13:32+00:00,ECOMMERCE,82.0,MANUAL,14.99,359.76,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
2,5e8f4d8f-a720-4a3d-ac55-f8953db3b527,2020-12-29 16:13:13+00:00,ECOMMERCE,82.0,MANUAL,14.99,419.72,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
3,74e6ff6d-f341-4300-8cac-30ab9e5ed5cf,2020-12-29 16:12:56+00:00,ECOMMERCE,82.0,MANUAL,14.99,149.9,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
4,c63d2508-f935-4092-bde1-434e1acbd0ef,2020-12-29 16:12:38+00:00,ECOMMERCE,82.0,MANUAL,14.99,164.89,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
5,cb453852-07bc-462d-b962-3ec839b6f1bc,2020-12-29 16:12:20+00:00,ECOMMERCE,82.0,MANUAL,14.99,179.88,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
6,93d837e8-317c-448f-a5ef-4765cbf5cffc,2020-12-29 16:12:01+00:00,ECOMMERCE,82.0,MANUAL,14.99,269.82,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
7,720893ac-141b-4cb5-90c7-18f8f4bcaf9a,2020-12-29 16:11:43+00:00,ECOMMERCE,78.0,MANUAL,14.99,374.75,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
8,825c15e9-67bb-440d-9fde-098fb3bac98f,2020-12-29 16:11:25+00:00,ECOMMERCE,78.0,MANUAL,14.99,389.74,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
9,b3c8200f-acf4-4347-a49d-e83a05f9122c,2020-12-29 16:11:06+00:00,ECOMMERCE,77.0,MANUAL,14.99,434.71,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
10,30a9cfeb-e0a7-45ce-ab35-591909939417,2020-12-29 16:10:50+00:00,ECOMMERCE,78.0,MANUAL,14.99,404.73,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
11,8713ab04-384f-469f-ac01-fe43890cb496,2020-12-29 16:10:32+00:00,ECOMMERCE,73.0,MANUAL,14.99,74.95,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
12,854d1535-dd28-4d70-92f0-5a249ba5085d,2020-12-29 16:10:13+00:00,ECOMMERCE,71.0,MANUAL,14.99,194.87,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
13,09e1737c-87af-4670-b9c1-cc7e4427af36,2020-12-29 16:09:53+00:00,ECOMMERCE,64.0,MANUAL,14.99,209.86,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
14,000d059f-7c1c-466d-8e07-513f47b9e4d9,2020-12-29 16:08:43+00:00,ECOMMERCE,58.0,MANUAL,14.99,0.0,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
15,ff6de208-cfe1-4799-b595-3eef16baf00f,2020-12-29 16:08:23+00:00,ECOMMERCE,57.0,MANUAL,14.99,314.79,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
16,fd7b1ea5-fad8-4382-ad6a-abfc18de7efc,2020-12-29 16:08:05+00:00,ECOMMERCE,56.0,MANUAL,14.99,89.94,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
17,dbbee443-42c4-4ecb-a802-468e67a1f5e6,2020-12-29 16:07:47+00:00,ECOMMERCE,54.0,MANUAL,14.99,224.85,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
18,2dffad1f-d808-478b-b93d-1329d912376e,2020-12-29 16:07:29+00:00,ECOMMERCE,53.0,MANUAL,14.99,329.78,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
19,9a9b761e-1933-495e-9d20-bfeb792f2fc0,2020-12-29 16:07:11+00:00,ECOMMERCE,52.0,MANUAL,14.99,14.99,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
20,9f4d6308-e344-4b5e-8f63-cfb4145be8a9,2020-12-29 16:06:52+00:00,ECOMMERCE,52.0,MANUAL,14.99,344.77,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
21,080b589e-2bd5-4cc8-8b7f-dda822ef90ed,2020-12-29 16:06:34+00:00,ECOMMERCE,49.0,MANUAL,14.99,29.98,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
22,de0e8629-ad5e-43ca-8a4c-b585f888a63a,2020-12-29 16:06:17+00:00,ECOMMERCE,47.0,MANUAL,14.99,104.93,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
23,b4651b7d-9d7d-47f9-a120-28ed7dd5becb,2020-12-29 16:05:58+00:00,ECOMMERCE,46.0,MANUAL,14.99,239.84,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
24,e618eab0-6b8e-4ffd-b6fb-4ca5319604eb,2020-12-29 16:05:38+00:00,ECOMMERCE,46.0,MANUAL,14.99,44.97,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
25,90686656-cf95-4a5b-ade1-bb6d62f7e217,2020-12-29 16:04:47+00:00,ECOMMERCE,47.0,MANUAL,14.99,119.92,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
26,bccd47a5-68de-4303-be56-c1e9db7d5c03,2020-12-29 16:04:29+00:00,ECOMMERCE,45.0,MANUAL,14.99,59.96,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
27,7433bc39-d8e1-4185-98f2-219e9ca8371f,2020-12-29 16:04:11+00:00,ECOMMERCE,43.0,MANUAL,14.99,284.81,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
28,85347256-1dfe-4f11-bcd8-acbb0a81b98d,2020-12-29 16:03:52+00:00,ECOMMERCE,41.0,MANUAL,14.99,299.8,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
29,dcd116e1-f2d0-4c9d-b1c4-470859b6a58d,2020-12-29 16:03:27+00:00,ECOMMERCE,40.0,MANUAL,14.99,254.83,,,HK,0.0,0.0,0.0,False,2020-12-29,1.0
30,e6e776d1-0a86-4ee7-9231-47fcb482d759,2020-12-28 16:51:12+00:00,ECOMMERCE,20.0,MANUAL,19.99,0.0,CA,6.0,US,0.0,0.0,0.0,False,2020-12-28,1.0
31,0e973405-dfe8-4924-86f3-dedc72d81498,2020-12-23 20:10:38+00:00,ECOMMERCE,43.0,MANUAL,18.51,1586.63,,,GB,0.0,0.0,0.0,False,2020-12-23,1.0
32,a6153ad8-b075-44fc-b713-e264cc95b7df,2020-12-23 20:10:13+00:00,ECOMMERCE,70.0,MANUAL,468.31,883.59,,,AE,0.0,0.0,0.0,False,2020-12-23,1.0
33,42e972ec-3f52-4f06-a904-48bb03fdb401,2020-12-23 19:50:20+00:00,ECOMMERCE,58.0,MANUAL,225.74,1362.54,,,GB,0.0,0.0,0.0,False,2020-12-23,1.0
34,a5bc47ce-67c2-4d18-a53a-a6fe92da9cb2,2020-12-23 19:32:23+00:00,ECOMMERCE,65.0,MANUAL,40.19,1605.14,,,DE,0.0,0.0,0.0,False,2020-12-23,1.0
35,8a6829b9-383d-4674-8685-51d4a52b54da,2020-12-23 13:32:51+00:00,MOTO,50.0,CARD_ON_FILE,233.72,2915.3,,,GB,0.0,0.0,0.0,False,2020-12-23,1.0
36,5162cebd-decc-41a5-8978-f89e3e853727,2020-12-23 12:37:46+00:00,MOTO,46.0,MANUAL,1409.09,3846.72,,,GB,0.0,0.0,0.0,False,2020-12-23,1.0
